date_and_time,number_of_taxi_trips,trend,seasonal_24,seasonal_168,resid,temperature,precipitation,wind_speed,precip_log,gamm_pred,ar_resid_pred,gammm_pred
2024-01-22 05:00:00,160,685.0050376045695,-558.4104329353086,27.77059660326268,5.634798727476436,-6.1,0.0,20.5,0.0,18.099592036927675,-26.37916693860212,-8.279574901674444
2024-01-22 06:00:00,329,685.2961502809262,-394.08219647008,18.362422775467078,19.42362341368687,-5.6,0.0,24.1,0.0,21.075426101964354,-8.783533742674507,12.291892359289847
2024-01-22 07:00:00,702,685.5704698130116,-135.18943831813962,17.181735260513975,134.43723324461405,-5.0,0.0,18.4,0.0,16.999892719025112,-1.043798242802505,15.956094476222606
2024-01-22 08:00:00,1210,685.8280693815781,152.1099570145199,32.02050531310495,340.04146829079707,-5.0,0.0,18.4,0.0,16.999892719025112,88.07674994371747,105.07664266274259
2024-01-22 09:00:00,1292,686.0690283698609,278.6367123345209,62.68265894977292,264.6116003458453,-3.9,0.0,22.3,0.0,20.554258489188115,240.37264663137563,260.92690512056373
2024-01-22 10:00:00,1175,686.2934179978471,258.92593584530385,46.55771274171396,183.2229334151349,-3.9,0.0,18.4,0.0,16.84497601460889,177.94157035536261,194.78654636997152
2024-01-22 11:00:00,1130,686.5012902449749,307.10756090338623,30.468348659517467,105.92280019212137,-3.9,0.0,18.4,0.0,16.84497601460889,120.93349020847558,137.77846622308448
2024-01-22 12:00:00,1170,686.6926805471186,384.0501936859545,5.450486245275642,93.80663952165116,-3.9,0.0,22.3,0.0,20.554258489188115,64.18938218262235,84.74364067181047
2024-01-22 13:00:00,1179,686.8675958813224,394.880071007948,4.423599069963462,92.82873404076634,-3.3,0.0,24.1,0.0,20.634865061453453,53.53120721768157,74.16607227913502
2024-01-22 14:00:00,1209,687.0260153108425,425.23128066912193,-6.524706502926914,103.26741052296256,-2.8,0.0,22.3,0.0,18.961352589923806,52.9847264019789,71.94607899190271
2024-01-22 15:00:00,1220,687.1678988456284,450.72880101507604,-16.32080442921218,98.42410456850791,-1.7,0.3,22.3,0.262364264467491,25.962270096837017,62.082609615398475,88.04487971223548
2024-01-22 16:00:00,1326,687.2931774908841,489.50527920101877,-25.567260090565068,174.76880339866216,-1.7,0.0,22.3,0.0,16.103066438751945,53.01300413400871,69.11607057276066
2024-01-22 17:00:00,1415,687.4017533189206,557.0715586880935,-38.7938101021102,209.320498095096,-1.1,0.0,22.3,0.0,14.191172429781012,117.83105422501178,132.0222266547928
2024-01-22 18:00:00,1359,687.4935034485284,515.9638351552204,-46.694403229096785,202.237064625348,-0.6,0.0,16.6,0.0,7.920380302155472,143.8240263984734,151.74440670062887
2024-01-22 19:00:00,1210,687.568256114393,376.6083899173765,-44.190249437587944,190.01360340581846,0.0,0.2,22.3,0.18232155679395465,18.945522958279952,142.64524976575427,161.59077272403422
2024-01-22 20:00:00,857,687.6257989034063,114.72545397800475,-0.788042730281833,55.43678984887072,0.0,0.0,20.5,0.0,8.691885724455815,125.22684415488347,133.91872987933928
2024-01-22 21:00:00,606,687.6658967772286,-92.16725163581691,-33.168871139902905,43.67022599849122,0.0,0.0,20.5,0.0,8.691885724455815,32.37619438852229,41.06808011297811
2024-01-22 22:00:00,418,687.6883022614144,-243.16101519673623,-30.272788230273047,3.745501165594874,0.6,0.0,13.0,0.0,5.067852920750937,25.49564267782341,30.56349559857435
2024-01-22 23:00:00,330,687.6927669803594,-358.07868019678966,-33.685948957937995,34.07186217436822,0.6,0.0,13.0,0.0,5.067852920750937,-1.5377456388429236,3.5301072819080135
2024-01-23 00:00:00,194,687.679047854036,-479.7040047155781,-31.21468750974058,17.23964437128268,0.6,0.0,14.8,0.0,4.074128902027937,21.76697781996152,25.84110672198946
2024-01-23 01:00:00,99,687.6469165295904,-576.761755558659,-37.65550930281271,25.770348331881337,1.1,0.0,11.2,0.0,4.28770357576667,9.418123531532183,13.705827107298854
2024-01-23 02:00:00,47,687.5961624177745,-629.9580145232999,-30.50997392721265,19.871826032738,1.1,0.3,11.2,0.262364264467491,14.146907233851728,15.901417755852842,30.048324989704568
2024-01-23 03:00:00,51,687.5265943860417,-639.2399270537171,-13.487275804985288,16.200608472660747,0.6,0.3,18.4,0.262364264467491,14.422019949528192,3.9568575926851506,18.378877542213342
2024-01-23 04:00:00,75,687.4380256824169,-620.715767418069,-5.276756013503683,13.554497749155871,0.6,0.0,5.4,0.0,0.4061140046818963,1.244120755681838,1.6502347603637344
